# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point A (1/2,1/2,1/2)
A5     Ba 5d A5#2            20.240  O 2p A5#2              7.294     0.271   12.945    0.04
A5     Ba 6p A5              39.842  O 2p A5#2              7.294     0.623   32.548    0.04
A1     Ba 5d A1#2            20.820  O 2p A1#2              7.026     0.264   13.794    0.04
A3     Ba 5s A3             -18.271  O 2p A3                5.248     0.432   23.520    0.03
A5     Ti 3d A5               9.151  O 3d A5#4             64.797     0.963   55.646    0.03
A1     Ti 3p A1             -24.995  O 2p A1#1              4.372     0.468   29.367    0.03
A3     Ba 5s A3             -18.271  O 3d A3#2             86.402     1.625  104.674    0.02
A5     Ti 4d A5              17.133  O 3d A5#2             61.054     0.677   43.921    0.02
A1     Ba 5d A1#2            20.820  O 2p A1#1              4.372     0.251   16.449    0.02
A1     Ti 3s A1             -50.284  O 3d A1               60.087     1.632  110.372    0.02
A5     Ti 3d A5               9.151  O 3d A5#3             62.686     0.697   53.534    0.02
A3     Ba 5s A3             -18.271  O 3p A3               73.735     1.132   92.007    0.02
A3     Ti 4d A3              16.853  O 3d A3#2             86.402     0.830   69.549    0.01
A2     Ti 3d A2               9.903  O 3d A2#2             60.278     0.599   50.375    0.01
A3     Ti 4d A3              16.853  O 3d A3#1             62.394     0.514   45.541    0.01
A3     Ba 5s A3             -18.271  O 3d A3#1             62.394     0.907   80.665    0.01
A4     Ba 5d A4              16.931  O 2p A4                7.405     0.106    9.525    0.01
A5     Ba 5p A5              -3.966  O 2p A5#2              7.294     0.116   11.261    0.01
A5     Ti 3p A5             -24.983  O 3d A5#1             55.375     0.813   80.358    0.01
A3     Ba 7s A3              46.499  O 2p A3                5.248     0.412   41.251    0.01
A5     Ba 5d A5#2            20.240  O 3p A5#2             72.357     0.494   52.117    0.01
A3     Ba 5d A3              16.451  O 3p A3               73.735     0.519   57.284    0.01
A5     Ti 3p A5             -24.983  O 3p A5#1             47.339     0.650   72.322    0.01
A5     Ti 3p A5             -24.983  O 3d A5#2             61.054     0.767   86.037    0.01
A5     Ti 3d A5               9.151  O 2s A5               -8.604     0.150   17.756    0.01
A5     Ti 4d A5              17.133  O 3d A5#4             64.797     0.372   47.664    0.01
A5     Ba 5d A5#2            20.240  O 2p A5#1              5.381     0.111   14.859    0.01
A5     Ba 5d A5#1             8.891  O 3d A5#1             55.375     0.340   46.484    0.01
A5     Ba 5p A5              -3.966  O 3p A5#1             47.339     0.371   51.305    0.01
A4     Ba 5d A4              16.931  O 3p A4               48.827     0.207   31.897    0.00
A1     Ti 3s A1             -50.284  O 2p A1#2              7.026     0.283   57.311    0.00
A5     Ti 4d A5              17.133  O 2s A5               -8.604     0.106   25.738    0.00
A5     Ti 3d A5               9.151  O 3s A5              131.105     0.447  121.954    0.00
A5     Ti 4d A5              17.133  O 2p A5#2              7.294     0.034    9.839    0.00
A5     Ti 4d A5              17.133  O 3s A5              131.105     0.389  113.972    0.00
A5     Ti 3p A5             -24.983  O 2p A5#2              7.294     0.109   32.278    0.00
A5     Ba 5d A5#1             8.891  O 3p A5#1             47.339     0.130   38.449    0.00
