# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point GM (0,0,0)
M5-    Sr 5p M5-              9.749  O 2s M5-              -8.355     5.126   18.105    6.49
M2-    Ti 4p M2-             18.670  O 2p M2-               6.545     3.329   12.125    6.17
M1+    Sr 4d M1+             12.067  O 2p M1+               5.267     1.817    6.800    5.90
M5-    Ti 3p M5-            -25.236  O 2s M5-              -8.355     4.286   16.881    5.42
M4+    Ti 3s M4+            -50.518  O 2p M4+               5.361    13.460   55.878    4.95
M5+    Ti 4d M5+             26.420  O 2p M5+               6.612     4.241   19.809    4.04
M2-    Ti 3p M2-            -25.223  O 2p M2-               6.545     6.569   31.767    3.80
M1+    Sr 5s M1+             16.763  O 3d M1+              64.436     9.554   47.674    3.59
M5+    Sr 4d M5+             13.958  O 2p M5+               6.612     1.418    7.347    3.35
M1+    Sr 5s M1+             16.763  O 2p M1+               5.267     1.974   11.496    2.71
M4+    Sr 4d M4+#2           18.130  O 2p M4+               5.361     1.838   12.770    1.95
M4+    Ti 5s M4+             55.705  O 3s M4+             227.063    24.529  171.358    1.93
M2-    Ti 4p M2-             18.670  O 3d M2-              62.147     5.245   43.477    1.39
M1+    Sr 4s M1+            -26.883  O 2p M1+               5.267     3.860   32.150    1.38
M5+    Ti 3d M5+              8.539  O 2p M5+               6.612     0.216    1.927    1.21
M4+    Ti 3s M4+            -50.518  O 2s M4+              -8.364     4.577   42.154    1.14
M5+    Ti 4d M5+             26.420  O 3p M5+              49.520     2.391   23.099    1.04
M5-    Sr 4p M5-             -8.885  O 2p M5-               6.414     1.454   15.299    0.88
M2+    Sr 4d M2+             15.658  O 2p M2+               7.611     0.699    8.047    0.74
M3+    Ti 3d M3+              9.616  O 3d M3+              61.364     4.413   51.748    0.71
M5-    Sr 5p M5-              9.749  O 3d M5-#2            62.998     3.686   53.249    0.47
M1+    Sr 6s M1+            385.594  O 3d M1+              64.436    20.060  321.157    0.39
M5+    Sr 4d M5+             13.958  O 3d M5+              76.430     3.807   62.471    0.37
M5+    Ti 3d M5+              8.539  O 3d M5+              76.430     3.713   67.891    0.30
M5-    Ti 3p M5-            -25.236  O 3s M5-             143.518     7.643  168.755    0.20
M5-    Ti 3p M5-            -25.236  O 2p M5-               6.414     1.398   31.650    0.19
M4+    Ti 3d M4+              9.908  O 2s M4+              -8.364     0.806   18.273    0.19
M4+    Sr 4d M4+#2           18.130  O 2s M4+              -8.364     1.061   26.494    0.16
M5-    Sr 5p M5-              9.749  O 3s M5-             143.518     5.228  133.769    0.15
M4+    Sr 4d M4+#1            6.779  O 3s M4+             227.063     8.123  220.284    0.14
M4+    Ti 3d M4+              9.908  O 2p M4+               5.361     0.167    4.548    0.13
M5-    Ti 3p M5-            -25.236  O 3d M5-#1            59.484     3.063   84.720    0.13
M5-    Ti 3p M5-            -25.236  O 3d M5-#3            74.870     3.430  100.106    0.12
M1+    Sr 4d M1+             12.067  O 3d M1+              64.436     1.689   52.369    0.10
M5-    Ti 3p M5-            -25.236  O 3p M5-              44.673     2.119   69.909    0.09
M5-    Sr 4p M5-             -8.885  O 3p M5-              44.673     1.468   53.557    0.07
M5-    Ti 3p M5-            -25.236  O 3d M5-#2            62.998     2.405   88.235    0.07
M5-    Sr 5p M5-              9.749  O 3d M5-#3            74.870     1.555   65.120    0.06
M2-    Ti 3p M2-            -25.223  O 3d M2-              62.147     1.751   87.370    0.04
M4+    Ti 3d M4+              9.908  O 3s M4+             227.063     4.296  217.155    0.04
M5-    Sr 4p M5-             -8.885  O 3d M5-#3            74.870     1.522   83.755    0.03
M5-    Sr 5p M5-              9.749  O 3d M5-#1            59.484     0.823   49.734    0.03
M4+    Sr 4d M4+#2           18.130  O 3s M4+             227.063     2.778  208.933    0.02
M1+    Ti 3d M1+              7.379  O 3d M1+              64.436     0.698   57.058    0.01
M5+    Ti 3d M5+              8.539  O 3p M5+              49.520     0.467   40.981    0.01
M1+    Sr 6s M1+            385.594  O 2p M1+               5.267     4.312  380.327    0.01
M5-    Sr 5p M5-              9.749  O 3p M5-              44.673     0.324   34.923    0.01
M5-    Sr 4p M5-             -8.885  O 3d M5-#2            62.998     0.637   71.883    0.01
M5+    Ti 4d M5+             26.420  O 3d M5+              76.430     0.408   50.009    0.01
M4+    Ti 5s M4+             55.705  O 2s M4+              -8.364     0.419   64.070    0.00
M1+    Sr 4s M1+            -26.883  O 3d M1+              64.436     0.413   91.320    0.00
M5-    Sr 4p M5-             -8.885  O 3d M5-#1            59.484     0.262   68.369    0.00
M4+    Ti 3s M4+            -50.518  O 3s M4+             227.063     1.039  277.581    0.00
M4+    Ti 5s M4+             55.705  O 2p M4+               5.361     0.111   50.345    0.00
M5-    Sr 4p M5-             -8.885  O 3s M5-             143.518     0.168  152.403    0.00

# k point X (0,1/2,0)
X3-    Sr 4p X3-             -8.932  O 2s X3-              -8.770     2.246    0.163   48.19
X3-    Ti 4s X3-#1            6.785  O 2p X3-               6.403     1.667    0.382   44.31
X1+    Sr 5s X1+              6.938  O 2p X1+               6.007     1.819    0.931   37.60
X2+    Sr 4d X2+             10.932  O 3p X2+              29.613    12.878   18.681   20.64
X5+    Ti 4p X5+             21.318  O 3p X5+              39.582    10.642   18.264   17.44
X3-    Ti 4s X3-#1            6.785  O 2s X3-              -8.770     6.351   15.554   11.27
X4-    Ti 3d X4-              8.278  O 2s X4-              -7.957     5.650   16.235    8.96
X3-    Ti 5s X3-             41.679  O 3d X3-              94.601    18.124   52.922    8.75
X2+    Sr 4d X2+             10.932  O 2p X2+               6.748     1.389    4.184    8.35
X1+    Sr 5s X1+              6.938  O 2s X1+              -8.382     4.760   15.319    7.53
X5-    Ti 4d X5-             19.790  O 2p X5-               6.581     3.747   13.209    6.51
X5-    Ti 4d X5-             19.790  O 3p X5-              49.758     8.382   29.968    6.36
X5+    Sr 4d X5+             11.845  O 3p X5+              39.582     7.685   27.737    6.27
X5+    Sr 4d X5+             11.845  O 2p X5+#1             5.835     1.629    6.011    6.04
X1+    Ti 3p X1+            -25.233  O 2s X1+              -8.382     4.230   16.851    5.32
X3-    Ti 3d X3-              9.856  O 2p X3-               6.403     0.696    3.453    3.62
X5+    Ti 3p X5+            -25.224  O 2p X5+#1             5.835     5.631   31.058    2.99
X5+    Ti 4p X5+             21.318  O 2p X5+#1             5.835     2.798   15.483    2.98
X3-    Ti 4s X3-#2           21.681  O 2p X3-               6.403     2.711   15.278    2.88
X3-    Ti 3s X3-            -50.519  O 2p X3-               6.403    10.095   56.921    2.88
X4+    Sr 4d X4+             14.608  O 3d X4+              66.764     8.632   52.156    2.53
X1+    Sr 6s X1+            372.695  O 3d X1+              68.410    49.739  304.284    2.48
X4-    Ti 4d X4-             18.162  O 3d X4-#1            57.521     6.357   39.359    2.42
X3-    Ti 3s X3-            -50.519  O 2s X3-              -8.770     6.092   41.749    2.00
X4-    Ti 4d X4-             18.162  O 2s X4-              -7.957     3.513   26.118    1.72
X1+    Sr 4d X1+             15.594  O 2p X1+               6.007     1.265    9.587    1.66
X1+    Sr 4s X1+            -26.901  O 2p X1+               6.007     4.176   32.907    1.54
X5+    Ti 3p X5+            -25.224  O 3p X5+              39.582     7.920   64.806    1.43
X5+    Ti 3p X5+            -25.224  O 2p X5+#2             7.408     3.470   32.632    1.09
X5+    Ti 4p X5+             21.318  O 2p X5+#2             7.408     1.349   13.910    0.92
X1+    Sr 4s X1+            -26.901  O 2s X1+              -8.382     1.546   18.519    0.68
X4-    Ti 4d X4-             18.162  O 3d X4-#2            62.247     3.514   44.086    0.62
X5-    Ti 3d X5-              8.981  O 2p X5-               6.581     0.187    2.400    0.60
X5-    Sr 4p X5-             -8.644  O 2p X5-               6.581     1.098   15.225    0.51
X5+    Sr 4d X5+             11.845  O 2p X5+#2             7.408     0.306    4.437    0.47
X2-    Ti 4d X2-             28.556  O 3d X2-              80.479     3.381   51.923    0.42
X2-    Ti 3d X2-              9.346  O 3d X2-              80.479     4.448   71.133    0.39
X4-    Ti 3d X4-              8.278  O 3d X4-#2            62.247     3.135   53.969    0.33
X3-    Ti 4s X3-#2           21.681  O 3d X3-              94.601     3.958   72.920    0.29
X1+    Ti 3p X1+            -25.233  O 2p X1+               6.007     1.672   31.240    0.28
X1+    Sr 4d X1+             15.594  O 3d X1+              68.410     2.720   52.817    0.26
X5-    Ti 3d X5-              8.981  O 3d X5-              78.995     3.459   70.014    0.24
X4-    Ti 3d X4-              8.278  O 3s X4-             214.811     9.823  206.533    0.22
X5-    Ti 4d X5-             19.790  O 3d X5-              78.995     2.345   59.206    0.16
X4-    Ti 4d X4-             18.162  O 3s X4-             214.811     7.180  196.649    0.13
X3-    Ti 5s X3-             41.679  O 2p X3-               6.403     1.207   35.276    0.12
X2+    Sr 4d X2+             10.932  O 3d X2+              61.963     1.349   51.031    0.07
X4-    Ti 3d X4-              8.278  O 3d X4-#1            57.521     1.237   49.243    0.06
X5-    Ti 3d X5-              8.981  O 3p X5-              49.758     0.987   40.777    0.06
X3-    Ti 3d X3-              9.856  O 3d X3-              94.601     2.035   84.745    0.06
X1+    Sr 4s X1+            -26.901  O 3d X1+              68.410     1.833   95.311    0.04
X3-    Sr 4p X3-             -8.932  O 2p X3-               6.403     0.279   15.335    0.03
