# same-irrep resonance integrals <phi_left | F(k) | phi_right>
# of the converged crystal Fock operator; energies on the aligned scale
# mix = sin^2(theta) with tan(2 theta) = 2|H| / dE (two-level mixing fraction)
# columns: irrep  left_level  E_left(eV)  right_level  E_right(eV)  |H|(eV)  dE(eV)  mix(%)

# k point GM (0,0,0)
M5-    Sc 4p M5-              3.954  F 3p M5-              28.976     1.128   25.023    0.20
M5-    Sc 4p M5-              3.954  F 3s M5-              97.642     3.908   93.688    0.17
M1+    Sc 3d M1+              1.936  F 3d M1+              67.827     2.713   65.891    0.17
M3-    Sc 3p M3-            -27.419  F 3p M3-              48.153     2.718   75.572    0.13
M5-    Sc 4p M5-              3.954  F 3d M5-#2            56.799     1.883   52.846    0.13
M1+    Sc 5s M1+             27.458  F 2p M1+              -4.270     1.113   31.728    0.12
M1+    Sc 4s M1+              4.739  F 3p M1+              23.071     0.630   18.333    0.12
M1+    Sc 4s M1+              4.739  F 3d M1+              67.827     1.954   63.088    0.10
M5+    Sc 3d M5+              3.075  F 3d M5+              68.583     1.996   65.508    0.09
M4+    Sc 4d M4+              7.250  F 3p M4+              25.081     0.527   17.831    0.09
M2+    Sc 3d M2+              3.555  F 3d M2+              80.107     2.017   76.552    0.07
M4+    Sc 4d M4+              7.250  F 3d M4+              57.801     1.173   50.551    0.05
M5-    Sc 4p M5-              3.954  F 3d M5-#3            57.738     1.103   53.784    0.04
M5-    Sc 3p M5-            -27.456  F 3d M5-#3            57.738     1.624   85.194    0.04
M1+    Sc 4s M1+              4.739  F 3s M1+             134.861     2.287  130.123    0.03
M4+    Sc 4d M4+              7.250  F 2p M4+              -3.611     0.145   10.862    0.02
M1+    Sc 3s M1+            -50.379  F 3s M1+             134.861     2.460  185.241    0.02
M5+    Sc 3d M5+              3.075  F 3p M5+              37.124     0.217   34.049    0.00
M4+    Sc 3d M4+              1.996  F 3d M4+              57.801     0.307   55.805    0.00

# k point X (0,1/2,0)
X1+    Sc 5s X1+             27.700  F 3p X1+              20.371     6.861    7.330   26.44
X3-    Sc 3p X3-            -27.437  F 2s X3-             -22.035     4.312    5.402   23.46
X1+    Sc 4s X1+              0.779  F 2s X1+             -22.183    13.545   22.962   17.67
X1+    Sc 3d X1+              3.826  F 2p X1+              -3.720     4.179    7.546   16.49
X2+    Sc 3d X2+              2.266  F 2s X2+             -21.887    11.343   24.153   13.56
X3-    Sc 4p X3-              2.261  F 2s X3-             -22.035    10.619   24.297   12.35
X1+    Sc 3s X1+            -50.380  F 3p X1+              20.371    29.605   70.751   11.66
X2+    Sc 4d X2+             12.839  F 2s X2+             -21.887    12.716   34.726    9.66
X1+    Sc 5s X1+             27.700  F 3d X1+#2            78.787    17.342   51.087    8.63
X5+    Sc 3d X5+              3.018  F 2p X5+              -2.829     1.806    5.847    7.46
X1+    Sc 5s X1+             27.700  F 3d X1+#1            57.025     7.877   29.325    5.95
X5-    Sc 3p X5-            -27.440  F 2p X5-#1            -3.818     6.312   23.622    5.90
X5+    Sc 4d X5+             13.787  F 3p X5+              35.192     5.368   21.405    5.31
X3-    Sc 4p X3-              2.261  F 2p X3-              -3.176     1.095    5.437    3.62
X1+    Sc 5s X1+             27.700  F 3s X1+              66.525     7.021   38.824    2.98
X3-    Sc 3p X3-            -27.437  F 3d X3-              54.604    14.013   82.041    2.68
X1+    Sc 3s X1+            -50.380  F 2p X1+              -3.720     7.699   46.660    2.52
X1+    Sc 3s X1+            -50.380  F 2s X1+             -22.183     4.364   28.197    2.24
X5-    Sc 3p X5-            -27.440  F 3p X5-#1            28.943     8.693   56.383    2.22
X1+    Sc 3d X1+              3.826  F 3p X1+              20.371     2.226   16.545    1.72
X2+    Sc 4d X2+             12.839  F 3d X2+#1            53.984     5.507   41.145    1.70
X5-    Sc 3p X5-            -27.440  F 3d X5-              63.636    11.893   91.075    1.62
X1+    Sc 5s X1+             27.700  F 2s X1+             -22.183     5.917   49.883    1.35
X1+    Sc 3s X1+            -50.380  F 3d X1+#1            57.025    12.096  107.405    1.22
X2+    Sc 4d X2+             12.839  F 3s X2+             146.344    14.378  133.505    1.12
X3-    Sc 3p X3-            -27.437  F 3p X3-              34.911     6.371   62.348    1.01
X1+    Sc 4s X1+              0.779  F 2p X1+              -3.720     0.444    4.499    0.95
X3-    Sc 4p X3-              2.261  F 3s X3-              50.580     4.578   48.319    0.87
X3-    Sc 3p X3-            -27.437  F 2p X3-              -3.176     2.281   24.261    0.86
X4+    Sc 4d X4+             22.439  F 3d X4+              72.807     4.139   50.368    0.66
X1+    Sc 3s X1+            -50.380  F 3d X1+#2            78.787     9.664  129.167    0.55
X1+    Sc 4s X1+              0.779  F 3s X1+              66.525     4.740   65.745    0.51
X2+    Sc 4d X2+             12.839  F 3d X2+#2            56.739     2.115   43.900    0.23
X1+    Sc 3d X1+              3.826  F 3d X1+#1            57.025     2.560   53.199    0.23
X5-    Sc 3p X5-            -27.440  F 2p X5-#2            -2.615     1.186   24.824    0.23
X5-    Sc 3p X5-            -27.440  F 3p X5-#2            48.875     3.429   76.315    0.20
X1+    Sc 3d X1+              3.826  F 2s X1+             -22.183     1.050   26.009    0.16
X2+    Sc 3d X2+              2.266  F 3s X2+             146.344     5.510  144.078    0.15
X5+    Sc 4d X5+             13.787  F 2p X5+              -2.829     0.622   16.616    0.14
X4+    Sc 3d X4+              3.348  F 3d X4+              72.807     2.506   69.459    0.13
X1+    Sc 4s X1+              0.779  F 3d X1+#1            57.025     2.001   56.246    0.13
X2+    Sc 3d X2+              2.266  F 3d X2+#2            56.739     1.737   54.473    0.10
X1+    Sc 4s X1+              0.779  F 3d X1+#2            78.787     2.434   78.008    0.10
X3-    Sc 3p X3-            -27.437  F 3s X3-              50.580     2.420   78.017    0.10
X2+    Sc 3d X2+              2.266  F 3d X2+#1            53.984     1.528   51.717    0.09
X5+    Sc 4d X5+             13.787  F 3d X5+#1            56.902     1.230   43.115    0.08
X1+    Sc 4s X1+              0.779  F 3p X1+              20.371     0.536   19.591    0.07
X3-    Sc 4p X3-              2.261  F 3d X3-              54.604     1.384   52.343    0.07
X3-    Sc 4p X3-              2.261  F 3p X3-              34.911     0.822   32.650    0.06
X5+    Sc 4d X5+             13.787  F 3d X5+#2            66.951     1.276   53.164    0.06
X1+    Sc 3d X1+              3.826  F 3d X1+#2            78.787     1.766   74.961    0.06
X5+    Sc 3d X5+              3.018  F 3d X5+#2            66.951     1.430   63.933    0.05
X1+    Sc 5s X1+             27.700  F 2p X1+              -3.720     0.626   31.420    0.04
X5+    Sc 3d X5+              3.018  F 3p X5+              35.192     0.528   32.174    0.03
X1+    Sc 3d X1+              3.826  F 3s X1+              66.525     0.760   62.699    0.01
X1+    Sc 3s X1+            -50.380  F 3s X1+              66.525     0.526  116.905    0.00
X5+    Sc 3d X5+              3.018  F 3d X5+#1            56.902     0.085   53.884    0.00
